New ward code,Year,Population,Square Kilometres,Population per square kilometre
E05014008,2025,16278.0,4.413,3688.6471787899386
E05014009,2013,14871.5,1.2195,12196.528625841263
E05014009,2014,14907.0,1.2195,12225.977910598718
E05014009,2015,15018.0,1.2195,12317.254385870532
E05014009,2016,14905.0,1.2195,12224.592951942373
E05014009,2017,14931.5,1.2195,12246.375369187816
E05014009,2018,15032.0,1.2195,12328.828322959314
E05014009,2019,15112.0,1.2195,12394.434813133135
E05014009,2020,15148.5,1.2195,12424.394841323214
E05014009,2021,15232.5,1.2195,12493.405391083543
E05014009,2022,15332.0,1.2195,12575.038263727869
E05014009,2023,15419.0,1.2195,12646.439455888445
E05014009,2024,15499.0,1.2195,12712.076879831722
E05014009,2025,15582.0,1.2195,12780.159080271787
E05014010,2013,16309.333333333334,1.8963333333333334,10510.272950649929
E05014010,2014,16347.333333333334,1.8963333333333334,10538.486007229823
E05014010,2015,16492.666666666668,1.8963333333333334,10635.233471708298
E05014010,2016,17215.666666666668,1.8963333333333334,10945.205613030043
E05014010,2017,17828.333333333332,1.8963333333333334,11195.16117809166
E05014010,2018,18545.0,1.8963333333333334,11508.366737261837
E05014010,2019,19261.0,1.8963333333333334,11814.184121428741
E05014010,2020,19974.666666666668,1.8963333333333334,12091.649858645565
E05014010,2021,20769.333333333332,1.8963333333333334,12412.890571427057
E05014010,2022,21587.666666666668,1.8963333333333334,12749.29695971428
E05014010,2023,22397.333333333332,1.8963333333333334,13079.416622627692
E05014010,2024,23208.666666666668,1.8963333333333334,13407.55769391042
E05014010,2025,23915.333333333332,1.8963333333333334,13675.828117119998
E05014011,2013,15584.75,1.62675,9684.730680616754
E05014011,2014,15859.0,1.62675,9842.152109713361
E05014011,2015,16062.5,1.62675,9968.594888397047
E05014011,2016,16205.0,1.62675,10045.388685962736
E05014011,2017,16384.5,1.62675,10162.142011775823
E05014011,2018,16643.75,1.62675,10328.968290294644
E05014011,2019,16891.5,1.62675,10489.086740696746
E05014011,2020,17099.5,1.62675,10617.866317062491
E05014011,2021,17364.25,1.62675,10782.475097645054
E05014011,2022,17637.5,1.62675,10952.483485476674
E05014011,2023,17902.5,1.62675,11117.181000007946
